date_and_hour_StL,Datetime,Air Pressure_StL,Air Temperature_StL,Precipitation_StL,Relative Humidity_StL,Wind From Direction_StL,Wind Speed_StL,Wind speed of gust_StL,Air Temperature,Average 10 meter wind speed over past 1 hour,Average air temperature over past 1 hour,Mean Sea Level Pressure,Precipitation Amount over past 1 hour,Rainfall amount over past 1 hour,Relative Humidity,Station Pressure,Vector average 10 meter wind direction over past 1 hour
2023-04-13T20,2023-04-13 20:00:00,979.525,8.1425,0.0,58.878,27.0255,7.192,15.786750000000001,6.9,19.2,6.9,1010.6,0.0,0.0,62.0,979.7,41.0
2023-04-13T21,2023-04-13 21:00:00,978.9,8.432,0.0,57.16025,28.4295,8.068999999999999,17.01475,6.7,21.4,6.9,1010.4,0.0,0.0,60.0,979.5,43.0
2023-04-13T22,2023-04-13 22:00:00,978.875,7.644,0.0,59.28475,24.218,7.36725,15.436,7.2,19.8,7.0,1009.7,0.0,0.0,55.0,978.9,36.0
2023-04-13T23,2023-04-13 23:00:00,977.85,7.7115,0.0,56.13675,28.4295,9.2965,18.4175,7.3,24.3,7.2,1008.6,0.0,0.0,53.0,977.8,41.0
2023-04-14T00,2023-04-14 00:00:00,977.75,7.453,0.0,54.78575,32.29,7.19175,18.593,7.0,23.6,7.1,1008.8,0.0,0.0,52.0,978.0,50.0
2023-04-14T01,2023-04-14 01:00:00,977.725,6.9822500000000005,0.0,54.52125,35.8,7.01625,17.716,6.6,21.1,6.8,1008.6,0.0,0.0,53.0,977.7,50.0
2023-04-14T02,2023-04-14 02:00:00,976.85,6.4755,0.0,55.8605,34.396,7.01625,20.698,6.0,23.4,6.2,1008.2,0.0,0.0,55.0,977.4,48.0
2023-04-14T03,2023-04-14 03:00:00,976.8,6.374,0.0,56.06825,35.449,6.3145,17.54075,5.9,20.8,5.8,1007.9,0.0,0.0,56.0,977.2,51.0
2023-04-14T04,2023-04-14 04:00:00,976.675,6.394,0.0,56.151250000000005,34.396,5.788500000000001,16.1375,5.3,22.7,5.7,1007.9,0.0,0.0,59.0,977.3,57.0
2023-04-14T05,2023-04-14 05:00:00,976.475,5.615,0.0,59.224,31.939,7.89325,17.01475,5.3,23.1,5.3,1007.5,0.0,0.0,60.0,976.9,53.0
2023-04-14T06,2023-04-14 06:00:00,976.15,5.401,0.0,60.351,30.53525,8.4195,18.067,5.1,25.1,5.2,1007.5,0.0,0.0,62.0,976.9,48.0
2023-04-14T07,2023-04-14 07:00:00,976.675,5.34875,0.0,60.954499999999996,32.641,7.8934999999999995,16.66375,5.0,23.1,5.1,1007.7,0.0,0.0,61.0,977.0,49.0
2023-04-14T08,2023-04-14 08:00:00,976.025,5.1235,0.0,62.01175,34.747,7.8934999999999995,18.593,4.1,22.0,4.5,1006.7,0.0,0.0,70.0,976.0,44.0
2023-04-14T09,2023-04-14 09:00:00,975.325,4.816,0.0,63.848,32.29,8.068999999999999,19.11925,3.8,25.1,3.9,1006.4,0.0,0.0,72.0,975.7,45.0
2023-04-14T10,2023-04-14 10:00:00,975.25,4.13575,0.0,68.11575,29.482,8.2445,17.8915,3.7,22.9,3.7,1006.7,0.0,0.0,71.0,976.1,49.0
2023-04-14T11,2023-04-14 11:00:00,975.55,3.65,0.0,70.51575,33.694,7.5425,18.944,3.0,24.9,3.4,1006.3,0.0,0.0,76.0,975.7,55.0
2023-04-14T12,2023-04-14 12:00:00,975.2,3.13775,0.0,73.55575,31.939,7.718,18.2425,2.6,21.9,2.7,1006.0,0.0,0.0,79.0,975.3,47.0
2023-04-14T13,2023-04-14 13:00:00,974.625,2.98075,0.0,75.62875,28.78025,8.7705,18.7685,2.6,24.6,2.6,1005.5,0.0,0.0,80.0,974.9,43.0
2023-04-14T14,2023-04-14 14:00:00,975.625,3.0627500000000003,0.0,75.72125,34.396,4.38525,12.98025,2.4,19.7,2.6,1006.6,0.0,0.0,82.0,975.9,58.0
2023-04-14T15,2023-04-14 15:00:00,975.7,3.1390000000000002,0.0,76.30575,27.0255,5.613,11.92775,2.4,15.8,2.4,1007.1,0.0,0.0,85.0,976.4,43.0
2023-04-14T16,2023-04-14 16:00:00,975.575,3.31725,0.0,76.57475,13.337250000000001,4.560499999999999,12.454,2.3,15.1,2.2,1006.7,0.0,0.0,90.0,976.0,28.0
2023-04-14T17,2023-04-14 17:00:00,975.825,3.37075,0.0,77.31475,13.337250000000001,4.911,14.0325,2.2,15.6,2.3,1007.4,0.0,0.0,92.0,976.6,20.0
2023-04-14T18,2023-04-14 18:00:00,976.225,3.0475,0.0,82.33375000000001,236.32666666666668,5.613250000000001,12.98025,2.2,15.6,2.2,1007.4,0.2,0.0,95.0,976.6,17.0
2023-04-14T19,2023-04-14 19:00:00,976.35,3.2329999999999997,0.0,84.0565,235.85866666666666,6.49,14.208,2.3,16.3,2.3,1007.9,0.0,0.0,94.0,977.1,12.0
2023-04-14T20,2023-04-14 20:00:00,977.1,3.1967499999999998,0.0,84.257,348.1725,8.4195,16.6635,2.5,15.3,2.4,1008.5,0.0,0.0,92.0,977.7,10.0
2023-04-14T21,2023-04-14 21:00:00,977.65,3.33075,0.0,83.983,345.365,9.822750000000001,17.541,2.6,15.5,2.6,1009.3,0.0,0.0,92.0,978.4,10.0
2023-04-14T22,2023-04-14 22:00:00,978.275,3.4345,0.0,83.96525,346.769,8.41975,15.787,2.6,14.1,2.6,1009.7,0.0,0.0,94.0,978.8,7.0
2023-04-14T23,2023-04-14 23:00:00,978.825,3.5934999999999997,0.0,83.83525,341.855,10.17375,17.716250000000002,2.8,13.7,2.7,1010.5,0.0,0.0,91.0,979.6,360.0
2023-04-15T00,2023-04-15 00:00:00,979.65,2.52375,0.0,84.58675,323.95475,9.82275,15.436,1.1,12.1,2.0,1011.3,0.0,0.0,93.0,980.3,342.0
2023-04-15T01,2023-04-15 01:00:00,980.225,2.3025,0.0,86.056,324.30575,9.29675,14.55925,2.3,14.3,1.9,1011.9,0.0,0.0,89.0,981.0,337.0
2023-04-15T02,2023-04-15 02:00:00,980.8,2.2520000000000002,0.0,85.8305,330.9745,9.998000000000001,15.962250000000001,1.7,14.4,2.0,1012.8,0.0,0.0,91.0,981.7,355.0
2023-04-15T03,2023-04-15 03:00:00,981.9,2.25525,0.0,85.52,335.186,11.226,18.067,1.3,14.0,1.5,1013.8,0.0,0.0,92.0,982.7,354.0
2023-04-15T04,2023-04-15 04:00:00,982.6,1.87975,0.0,85.8055,340.451,9.998,17.541,1.0,13.7,1.1,1014.4,0.0,0.0,93.0,983.3,351.0
2023-04-15T05,2023-04-15 05:00:00,983.175,1.6207500000000001,0.0,85.4585,342.908,11.05075,19.64575,0.7,14.7,0.8,1014.7,0.0,0.0,92.0,983.6,352.0
2023-04-15T06,2023-04-15 06:00:00,983.325,1.22375,0.0,85.769,347.11975,9.29675,18.59325,0.6,16.3,0.7,1015.1,0.0,0.0,91.0,983.9,4.0
2023-04-15T07,2023-04-15 07:00:00,983.8,1.00775,0.0,85.32475,343.961,11.22575,21.39975,0.3,15.0,0.4,1015.3,0.0,0.0,94.0,984.1,359.0
2023-04-15T08,2023-04-15 08:00:00,984.05,0.81875,0.0,85.97075,336.239,11.75225,19.119500000000002,0.2,12.2,0.3,1015.6,0.0,0.0,94.0,984.4,351.0
2023-04-15T09,2023-04-15 09:00:00,984.475,0.73575,0.0,86.526,339.749,12.103250000000001,21.2245,0.0,14.3,0.2,1016.4,0.1,0.0,91.0,985.2,357.0
2023-04-15T10,2023-04-15 10:00:00,985.1,0.66125,0.0,86.61825,342.908,10.69975,18.7685,0.0,14.3,0.0,1017.0,0.0,0.0,94.0,985.8,358.0
2023-04-15T11,2023-04-15 11:00:00,985.4250000000001,0.50975,0.0,87.75200000000001,341.504,11.05075,19.47025,-0.2,15.4,-0.1,1017.3,0.0,0.0,95.0,986.1,358.0
2023-04-15T12,2023-04-15 12:00:00,986.225,0.318,0.0,87.88925,338.345,13.85725,23.50475,-0.3,18.2,-0.2,1018.5,0.0,0.0,85.0,987.1,1.0
2023-04-15T13,2023-04-15 13:00:00,987.225,0.23399999999999999,0.0,83.55799999999999,343.61,14.20825,24.7325,-0.2,17.8,-0.2,1019.1,0.0,0.0,86.0,987.8,3.0
2023-04-15T14,2023-04-15 14:00:00,987.7,0.515,0.0,81.0935,345.716,12.98,24.031,-0.1,19.3,-0.2,1019.5,0.0,0.0,82.0,988.1,2.0
2023-04-15T15,2023-04-15 15:00:00,987.95,0.808,0.0,77.0545,349.5765,12.98025,28.94225,0.2,25.7,0.0,1019.7,0.0,0.0,80.0,988.4,11.0
2023-04-15T16,2023-04-15 16:00:00,988.425,0.981,0.0,77.35175,119.33333333333333,9.47225,24.908,0.5,26.0,0.2,1020.3,0.0,0.0,77.0,989.0,14.0
2023-04-15T17,2023-04-15 17:00:00,988.625,2.2830000000000004,0.0,70.99925,3.159,9.998,23.85575,1.0,25.3,0.6,1020.4,0.0,0.0,74.0,989.0,15.0
2023-04-15T18,2023-04-15 18:00:00,988.775,3.53525,0.0,65.282,347.7046666666667,13.331,26.83725,1.6,26.1,1.2,1020.6,0.0,0.0,71.0,989.3,4.0
2023-04-15T19,2023-04-15 19:00:00,988.975,4.35075,0.0,60.94,342.90774999999996,15.78675,29.293,1.9,23.9,1.8,1020.7,0.0,0.0,70.0,989.4,1.0
2023-04-15T20,2023-04-15 20:00:00,988.975,4.6485,0.0,60.865,339.398,17.541,29.81925,2.7,24.3,2.3,1020.7,0.0,0.0,68.0,989.4,3.0
2023-04-15T21,2023-04-15 21:00:00,989.0999999999999,4.843500000000001,0.0,59.20325,345.71575,15.43575,27.89,3.1,23.6,2.8,1020.9,0.0,0.0,64.0,989.6,10.0
2023-04-15T22,2023-04-15 22:00:00,989.325,5.89325,0.0,55.0295,118.86533333333334,9.99825,23.329250000000002,3.7,22.7,3.4,1021.1,0.0,0.0,61.0,989.8,15.0
2023-04-15T23,2023-04-15 23:00:00,989.55,6.84175,0.0,51.16625,5.616,8.244250000000001,20.8735,3.9,23.0,3.9,1021.5,0.0,0.0,59.0,990.2,16.0
2023-04-16T00,2023-04-16 00:00:00,990.05,6.273,0.0,51.70425,2.808,8.7705,22.978250000000003,3.5,23.3,3.7,1022.1,0.0,0.0,63.0,990.8,13.0
2023-04-16T01,2023-04-16 01:00:00,990.45,5.682,0.0,53.6545,89.149,8.244250000000001,21.7505,3.1,18.9,3.3,1022.3,0.0,0.0,66.0,991.0,4.0
2023-04-16T02,2023-04-16 02:00:00,990.95,4.749,0.0,56.90325,176.894,7.191750000000001,18.067,2.1,15.5,2.5,1023.1,0.0,0.0,71.0,991.7,6.0
2023-04-16T03,2023-04-16 03:00:00,991.6,3.316,0.0,60.3915,118.86533333333334,4.91125,13.6815,0.1,11.2,1.0,1023.5,0.0,0.0,79.0,992.0,13.0
2023-04-16T04,2023-04-16 04:00:00,991.8,1.9980000000000002,0.0,64.37775,175.49,4.03425,9.822750000000001,-1.4,10.0,-1.1,1023.6,0.0,0.0,85.0,992.0,14.0
2023-04-16T05,2023-04-16 05:00:00,991.775,0.47925,0.0,67.56325,172.6825,2.982,6.49,-2.2,10.1,-1.6,1023.6,0.0,0.0,87.0,992.0,8.0
2023-04-16T06,2023-04-16 06:00:00,991.925,-0.369,0.0,71.4855,338.345,5.0865,8.244,-2.5,8.4,-2.6,1023.9,0.0,0.0,90.0,992.4,355.0
2023-04-16T07,2023-04-16 07:00:00,992.325,-0.881,0.0,72.61475,340.802,3.8587499999999997,6.1392500000000005,-2.8,8.7,-2.8,1024.1,0.0,0.0,90.0,992.6,344.0
2023-04-16T08,2023-04-16 08:00:00,992.4250000000001,-0.748,0.0,73.4285,334.484,5.61275,8.59525,-3.0,9.7,-2.7,1024.1,0.0,0.0,88.0,992.6,349.0
2023-04-16T09,2023-04-16 09:00:00,992.35,-0.9319999999999999,0.0,73.65299999999999,341.855,4.5605,8.94575,-3.2,9.1,-3.2,1023.9,0.0,0.0,87.0,992.4,11.0
2023-04-16T10,2023-04-16 10:00:00,992.3,-1.45975,0.0,73.491,350.2785,3.1574999999999998,6.6655,-3.9,10.0,-3.7,1024.1,0.0,0.0,88.0,992.6,2.0
2023-04-16T11,2023-04-16 11:00:00,992.65,-2.1345,0.0,73.84925,348.17225,3.33275,5.964,-4.4,9.6,-4.2,1024.5,0.0,0.0,87.0,993.0,4.0
2023-04-16T12,2023-04-16 12:00:00,993.05,-2.74575,0.0,74.39625000000001,344.31175,3.50825,6.1395,-4.8,9.1,-4.6,1024.9,0.0,0.0,88.0,993.3,3.0
2023-04-16T13,2023-04-16 13:00:00,993.25,-2.17675,0.0,73.949,339.749,5.26225,9.12125,-2.8,9.5,-3.9,1025.0,0.0,0.0,83.0,993.5,355.0
2023-04-16T14,2023-04-16 14:00:00,993.225,0.9512499999999999,0.0,66.25225,343.259,7.718,13.331,0.1,10.5,-1.3,1025.0,0.0,0.0,62.0,993.5,2.0
2023-04-16T15,2023-04-16 15:00:00,993.05,3.816,0.0,50.0305,345.36475,8.7705,17.7165,2.3,14.1,1.3,1024.6,0.0,0.0,44.0,993.1,12.0
2023-04-16T16,2023-04-16 16:00:00,992.625,6.679,0.0,38.03425,233.519,8.594750000000001,20.8735,4.1,16.6,3.2,1024.2,0.0,0.0,42.0,992.8,9.0
2023-04-16T17,2023-04-16 17:00:00,992.15,7.564500000000001,0.0,40.85675,333.19733333333335,9.6475,19.64575,0.9,18.6,3.5,1023.8,0.0,0.0,74.0,992.3,354.0
2023-04-16T18,2023-04-16 18:00:00,991.825,3.56675,0.0,62.231,293.77075,18.24225,24.031,1.2,22.5,1.1,1023.6,0.0,0.0,73.0,992.0,306.0
2023-04-16T19,2023-04-16 19:00:00,991.675,3.89525,0.0,61.663,298.33299999999997,18.24225,25.609750000000002,1.5,23.4,1.3,1023.3,0.0,0.0,71.0,991.8,301.0
2023-04-16T20,2023-04-16 20:00:00,991.225,4.269,0.0,59.9635,295.52575,19.1195,23.505000000000003,1.9,24.0,1.7,1022.7,0.0,0.0,70.0,991.2,303.0
2023-04-16T21,2023-04-16 21:00:00,990.575,4.74175,0.0,58.7915,299.035,17.891750000000002,22.9785,2.3,20.2,2.0,1021.9,0.0,0.0,70.0,990.5,305.0
2023-04-16T22,2023-04-16 22:00:00,989.9,4.95075,0.0,60.13775,301.141,15.085,20.523,1.7,20.2,2.0,1021.5,0.0,0.0,74.0,990.0,306.0
2023-04-16T23,2023-04-16 23:00:00,989.45,4.8735,0.0,61.3835,304.651,15.78675,19.29475,2.2,19.7,2.1,1021.2,0.0,0.0,72.0,989.7,314.0
2023-04-17T00,2023-04-17 00:00:00,989.35,4.993,0.0,61.05825,309.56475,13.85725,19.29475,2.8,17.6,2.5,1021.0,0.0,0.0,66.0,989.5,319.0
2023-04-17T01,2023-04-17 01:00:00,989.25,7.00825,0.0,52.206,161.45125,6.6652499999999995,11.928,6.6,15.0,7.4,1020.7,0.0,0.0,43.0,989.4,11.0
2023-04-17T02,2023-04-17 02:00:00,988.9250000000001,7.35775,0.0,42.415,25.27075,2.63125,5.9635,4.3,10.6,5.4,1020.4,0.0,0.0,44.0,989.2,34.0
2023-04-17T03,2023-04-17 03:00:00,988.95,3.96725,0.0,49.34325,26.3235,1.228,3.6835,2.8,8.7,3.6,1020.4,0.0,0.0,48.0,989.1,34.0
2023-04-17T04,2023-04-17 04:00:00,988.8,3.0545,0.0,50.96025,22.463,1.22775,2.982,1.8,9.2,1.8,1020.0,0.0,0.0,50.0,988.8,33.0
2023-04-17T05,2023-04-17 05:00:00,988.425,1.936,0.0,51.78875,118.39733333333334,1.228,3.68375,-1.6,8.4,0.1,1019.8,0.0,0.0,66.0,988.4,18.0
2023-04-17T06,2023-04-17 06:00:00,988.125,1.35625,0.0,52.3635,2.808,1.7542499999999999,4.5607500000000005,-1.9,8.6,-2.1,1019.5,0.0,0.0,71.0,988.1,10.0
2023-04-17T07,2023-04-17 07:00:00,987.825,0.28625,0.0,56.76675,27.727249999999998,2.45575,5.7885,-1.1,12.9,-0.8,1019.2,0.0,0.0,62.0,987.8,39.0
2023-04-17T08,2023-04-17 08:00:00,987.625,-0.9675,0.0,61.463,32.992000000000004,1.5785,3.8587499999999997,-3.2,8.2,-1.9,1019.1,0.0,0.0,71.0,987.7,31.0
2023-04-17T09,2023-04-17 09:00:00,987.675,-2.21075,0.0,63.396,85.6395,0.1755,1.5785,-3.4,8.4,-4.1,1018.9,0.0,0.0,73.0,987.5,31.0
2023-04-17T10,2023-04-17 10:00:00,987.575,-3.1189999999999998,0.0,66.636,91.255,0.52625,2.28025,-5.8,7.5,-3.7,1019.3,0.0,0.0,85.0,987.8,29.0
2023-04-17T11,2023-04-17 11:00:00,987.9000000000001,-2.7995,0.0,67.90424999999999,333.782,3.8592500000000003,6.6655,-5.4,8.1,0.0,1019.4,0.0,0.0,0.0,988.0,358.0
2023-04-17T12,2023-04-17 12:00:00,988.025,-2.95825,0.0,67.75725,188.82725000000002,2.105,4.385,-4.2,7.8,-4.7,1019.4,0.0,0.0,0.0,988.0,41.0
