NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,
4778.0,M,11:22,1/12/2018,DISTILLED,EX,HERBERT,REP1,,TAP486,,,,,8,6,,1,7,,130,,,,,
4779.0,M,11:22,1/12/2018,DISTILLED,EX,HERBERT,REP1,,TAP486,,,,,12,6,,2,8,,90,,,,,
4780.0,M,11:25,1/12/2018,DISTILLED,EX,HERBERT,REP2,,TAP486,,,,,7,6,,2,8,,80,,,,,
4781.0,M,11:25,1/12/2018,DISTILLED,EX,HERBERT,REP2,,TAP486,,,,,8,6,,1,7,,90,,,,,
4782.0,M,11:26,1/12/2018,DISTILLED,EX,HERBERT,REP3,,TAP486,,,,,8,7,,1,6,,110,,,,,
4783.0,M,11:26,1/12/2018,DISTILLED,EX,HERBERT,REP3,,TAP486,,,,,3,6,,1,7,,70,,,,,
4784.0,M,,3/7/2018,MANITOBA,LA,HERBERT,LMB,,LLS013,,,,,152,843,,16,8,,1240,11.43,9.39,1245,8.54,
4785.0,M,11:05,3/13/2018,MANITOBA,LA,HERBERT,BLK,,CN 100,,,,,34,,,,,,270,,,,,
4786.0,M,11:00,3/13/2018,MANITOBA,LA,HERBERT,BLK,,P 100,,,,,,,,-1,,,,,,,,
4787.0,M,,3/13/2018,MANITOBA,LA,HERBERT,BLK,,P 0,,,,,,,,2,,,,,,,,
4788.0,M,14:09,3/27/2018,MANITOBA,LA,HERBERT,LWPG,,SITE1,0,,,,133,588,5,18,12,,900,13.96,10.85,105,7.97,
4789.0,M,15:16,3/27/2018,MANITOBA,LA,HERBERT,LWPG,,SITE2,0,,,,95,468,5,16,11,,660,11.40,8.74,101,7.92,
4790.0,M,09:00,3/28/2018,MANITOBA,LA,HERBERT,BLK,,CN,,,,,-1,,,,,,-10,,,,,
4791.0,M,09:00,3/28/2018,MANITOBA,LA,HERBERT,BLK,,P 0,,,,,,,,-1,,,,,,,,
4792.0,M,09:08,3/28/2018,MANITOBA,LA,HERBERT,BLK,,P 100,,,,,,,,3,,,,,,,,
