SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
00-A75963,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,10/3/2000,N,A,381,,,,,,,,,,,,L1,,,,,,,,,,,,,,30,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,670,710,8,,241,,,8.33,,269,L20,L10,,,1180,,,,,,,0.02,0.012,0.008,,0.6,,,0.03,0.01,,118,,,,68,56,12,,309,,,,,,,,,,,,,,,,,,,,,,,,,,
0104CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/23/2001 9:05:00 AM,Y,A,381,,,,,,,,,,,,,,4,,,,,,,,262,105,0.26,368,70,11.6,1.8,93.5,2.6,,0.654,0.373,,0.281,,344,52,35,17,,,148,L0.5,L0.5,181,499,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0107CH0029,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/17/2001 9:10:00 AM,Y,A,381,,,,,,,,,,,,,,23,,,,,,4,287,,9.7,0.03,14,20,5.2,0.01,126,1.2,,0.049,0.016,,0.033,,752,71,56,14,,L1,232,L0.5,L0.5,283,1300,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/26/2001 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,11,,,,,,1,342,,5.6,0.1,5,10,10.3,0.02,197,0.6,,0.037,0.016,,0.021,,1180,72,58,15,,L1,241,1.2,L0.5,291,1800,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/23/2002 9:05:00 AM,Y,A,381,,,,,,,,,,,,,,5,0.009,,,,,,209,,66,,111,50,10.5,1.7,97.2,1.7,,0.17,0.059,,0.111,,454,51,37,14,,3,148,L0.5,L0.5,180,,,7.98,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207CH0029,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/9/2002 9:25:00 AM,Y,A,381,,,,,,,,,,,,,,21,,,,,,4.8,,296,0.53,0.04,18,25,6.5,L0.01,103,L0.2,,0.063,0.015,,0.048,,724,65,52,13,,L1,,,,,,,8.07,835,220,L0.5,L0.5,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0209CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,10/1/2002 10:50:00 AM,Y,A,381,,,,,,,,,,,,,,7,,,,,,1.8,,321,9.2,0.08,9,30,7.2,L0.01,118,0.5,,0.039,0.013,,0.026,,740,73,57,16,,1,,,,,,,8.01,1240,234,L0.5,L0.5,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/15/2003 9:50:00 AM,Y,A,381,,,,,,,,,,,,,,2,,,,,,,176,,127,0.5,539,90,10.7,0.54,40.1,4,,0.977,0.078,,0.899,,229,40,26,14,,4,127,L0.5,L0.5,155,,,7.23,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307CH0029,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/24/2003 9:05:00 AM,Y,A,381,,,,,,,,,,,,,,17,,,,,,,308,,2.6,0.27,3,20,7.1,L0.01,127,,,0.022,0.009,,0.013,,854,66,53,13,,L1,,,,,,,7.81,1470,224,L0.5,L0.5,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/24/2003 11:45:00 AM,Y,A,381,,,,,,,,,,,,,,7,,,,3.6,2.3,,,274,22,0.07,14,25,8.6,L0.01,116,,,0.049,0.008,,0.041,,598,64,51,12,,L1,,,,,,,7.91,1100,216,L0.5,L0.5,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
