SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
0202CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,2/4/2002 10:05:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,8.7,,,3.9,0.55,7,10,3.7,0.88,,1,,0.226,0.18,,0.045,,757,92,80,12,,1.3,314,L0.5,L0.5,383,1090,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0203CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,3/4/2002 9:35:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,5.1,,,2.5,0.42,3,15,4.5,1.3,,0.5,,0.252,0.212,,0.04,,771,90,80,10,,L1,331,L0.5,L0.5,403,1100,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,4/8/2002 11:25:00 AM,Y,A,381,,,,,,,,,,,,,,0,0.232,,,,,3.7,484,,2.6,,4,7,12.1,1.5,236,0.2,,0.211,0.165,,0.056,,722,88,76,12,,2,315,L0.5,L0.5,385,991,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0205CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,5/1/2002 8:10:00 AM,Y,A,381,,,,,,,,,,,,,,6,L0.005,,,,,17.9,,,17,,35,25,7.3,0.86,,1.2,,0.196,0.081,,0.115,,464,57,46,11,,3,190,3.5,L0.5,225,,,8.35,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,6/3/2002,N,A,381,,,,,,,,,,,,,,16,,,,,,10.6,,,5.9,0.03,13,15,4.3,L0.01,,0.7,,0.127,0.06,,0.067,,577,76,63,13,,1,,,,,,,8.12,855,269,L0.5,L0.5,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/3/2002 7:45:00 AM,Y,A,381,,,,,,,,,,,,,,21,,,,,,9.3,,457,4.7,0.05,37,20,4.3,0.57,223,1.3,,0.264,0.225,,0.039,,670,87,71,15,,L1,,,,,,,8.02,987,292,L0.5,L0.5,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX001,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX004,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NAX006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/26/2002 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,8/6/2002 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,19.5,,,,,,5.4,,,4.3,0.07,7,20,6.4,L0.01,,L0.2,,0.196,0.133,,0.063,,633,66,53,13,,1,,,,,,,8.55,954,236,12,L0.5,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0209CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,9/3/2002 9:15:00 AM,Y,A,381,,,,,,,,,,,,,,17.5,,,,,,30.7,,,21,0.15,50,10,6.2,0.56,,1.1,,0.234,0.133,,0.101,,621,64,53,11,,3,,,,,,,8.01,923,224,L0.5,L0.5,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,10/7/2002 3:30:00 PM,Y,A,381,,,,,,,,,,,,,,8,,,,,,36.6,,371,11,0.05,14,15,12.6,0.59,256,L0.2,,0.16,0.09,,0.07,,724,73,61,12,,L1,,,,,,,8.42,1040,260,L0.5,L0.5,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0211CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,11/4/2002 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,77.4,,,5,0.04,16,10,12.9,0.48,,1.3,,0.226,0.104,,0.122,,665,79,67,12,,6,,,,,,,8.05,949,276,L0.5,L0.5,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,12/10/2002 9:00:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,35.1,,,8,0.66,15,11,12.6,0.72,,1.8,,0.255,0.195,,0.06,,965,80,67,13,,4,,,,,,,7.94,1370,290,L0.5,L0.5,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,1/7/2003 8:45:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,,,,9,0.47,14,8,7.8,0.78,,1.3,,0.184,0.132,,0.052,,800,74,64,10,,,,,,,,,7.62,1200,260,L0.5,L0.5,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,2/4/2003 9:55:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,,,,11,0.27,19,8,8.8,0.72,,3.2,,0.181,0.134,,0.047,,681,75,64,10,,,,,,,,,7.43,1020,260,L0.5,L0.5,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,3/3/2003 10:00:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,,,,12,L0.01,21,10,7.4,0.75,,2,,0.212,0.152,,0.06,,628,72,63,9.4,,,267,L0.5,L0.5,325,,,7.35,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,4/1/2003 1:40:00 PM,Y,A,381,,,,,,,,,,,,,,0,,,,,,21.3,,268,31,0.46,71,50,10.2,1.1,172,0.9,,0.49,0.346,,0.144,,492,59,42,17,,2,,,,,,,7.44,731,178,L0.5,L0.5,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,5/5/2003 9:55:00 AM,Y,A,381,,,,,,,,,,,,,,13,,,,,,23.7,,,120,0.7,254,45,8.7,0.32,,1.5,,0.483,0.066,,0.417,,558,59,46,13,,2,,,,,,,7.59,824,200,L0.5,L0.5,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,6/2/2003 10:10:00 AM,Y,A,381,,,,,,,,,,,,,,18,,,,23.9,4.7,,,,65,0.11,178,17,7.6,0.14,,0.9,,0.387,0.059,,0.328,,693,64,55,8.9,,2,,,,,,,7.87,988,234,L0.5,L0.5,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/1/2003 10:25:00 AM,Y,A,381,,,,,,,,,,,,,,22.5,,,,70.1,14.9,,362,,33,0.1,100,10,8.1,0.02,293,1.1,,0.25,0.013,,0.237,,745,67,56,11,,1.8,,,,,,,8.15,1120,234,L0.5,L0.5,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,8/5/2003 10:15:00 AM,Y,A,381,,,,,,,,,,,,,,24,,,,51.5,12.2,,,,21,0.08,57,12,6.3,0.15,,1.4,,0.199,0.072,,0.127,,797,67,56,11,,4,,,,,,,8.26,1210,250,L0.5,L0.5,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,9/9/2003 8:55:00 AM,Y,A,381,,,,,,,,,,,,,,18,,,,10.8,4.7,,,,11,0.09,22,25,6.9,0.44,,1.4,,0.196,0.122,,0.074,,678,73,61,12,,2,,,,,,,8.29,1020,258,L0.5,L0.5,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310CH0005,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,10/6/2003 11:20:00 AM,Y,A,381,,,,,,,,,,,,,,12,,,,8.4,2.5,,,300,2.5,0.05,5,15,12.4,L0.01,261,0.9,,0.072,0.033,,0.039,,613,64,53,10,,2,,,,,,,8.21,978,234,L0.5,L0.5,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0311CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,11/3/2003 9:50:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,16.8,4.2,,,,4,0.12,4,20,13.1,0.71,,1.3,,0.201,0.149,,0.052,,732,86,72,14,,2,,,,,,,8.27,1120,322,L0.5,L0.5,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0312CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,12/1/2003 9:55:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,15.6,6.2,,,,2.5,0.65,5,25,8.9,1.5,,2.3,,0.351,0.304,,0.047,,775,101,91,9.8,,2,,,,,,,7.83,1230,368,L0.5,L0.5,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0401CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,1/12/2004 2:35:00 PM,Y,A,381,,,,,,,,,,,,,,0,,,,4.2,2.1,,,524,3.3,0.89,5,11,6,2,258,2,,0.312,0.27,,0.042,,740,94,86,7.6,,2,,,,,,,7.39,1080,318,L0.5,L0.5,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0402CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,2/10/2004 10:10:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,4.5,3.9,,,,4.7,0.39,5,L5,4.4,1.49,,5.6,,0.206,0.175,,0.031,,639,72,67,5.5,,1,,,,,,,7.1,961,268,L0.5,L0.5,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0403CH0002,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,3/1/2004 8:40:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,4.2,2.9,,,,4.5,0.47,7,12,5.8,1.07,,1.6,,0.245,0.201,,0.044,,681,76,69,6.8,,3,,,,,,,7.09,1010,266,L0.5,L0.5,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0404CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,4/14/2004 3:40:00 PM,Y,A,381,,,,,,,,,,,,,,6,,,,15,3.9,,,250,64.5,0.25,146,49,10.5,1,151,1.4,,0.471,0.159,,0.312,,411,47,35,13,,3,,,,,,,7.48,615,154,L0.5,L0.5,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0405CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,5/3/2004 9:35:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,29.9,L0.5,,,,9.19,L0.02,21,15,8.7,0.03,,0.8,,0.117,0.049,,0.068,,614,65,53,12,,3,,,,,,,8.62,869,230,L0.5,L0.5,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0406CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,6/1/2004 8:55:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,63.8,L0.5,,,,20.2,0.08,70,20,7.4,0.39,,1.4,,0.199,0.083,,0.116,,650,68,55,13,,8,,,,,,,8.18,858,236,L0.5,L0.5,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0407CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,7/5/2004 4:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,18,0.9,,,351,77.5,0.1,233,21,7.7,0.27,229,1.6,,0.481,0.075,,0.406,,589,65,52,13,,L1,,,,,,,8.3,836,230,L0.5,L0.5,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0408CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,8/2/2004 9:45:00 AM,Y,A,381,,,,,,,,,,,,,,19.5,,,,9,0.8,,,,10.8,0.05,24,17,7.7,0.11,,1.2,,0.161,0.113,,0.048,,701,65,57,8.1,,1,,,,,,,8.41,1030,250,4.8,L0.5,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0409CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,9/1/2004 9:05:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,9,5,,,,6.8,0.05,15,12,7.2,0.47,,1.3,,0.168,0.125,,0.043,,646,61,53,7.6,,L1,,,,,,,8.28,925,244,L0.5,L0.5,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,10/4/2004 3:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,6,L0.5,,,443,5.8,0.03,8,13,13,0.29,220,0.4,,0.132,0.101,,0.031,,651,66,54,12,,L1,,,,,,,8.62,942,256,7.2,L0.5,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0411CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,11/3/2004 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,4,,,,31.7,L0.5,,,,5.6,0.06,14,11,10.5,0.3,,0.8,,0.113,0.062,,0.051,,670,71,63,7.5,,2,,,,,,,8.37,964,248,2.4,L0.5,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0412CH0003,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,12/7/2004 10:30:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,8,1.1,,,,2.9,0.21,3,12,9.4,0.54,,0.9,,0.135,0.116,,0.019,,873,79,66,13,,1,,,,,,,8.16,1260,290,2.4,L0.5,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501CH0006,MB05MHS006,ASSINIBOINE RIVER,ASSINIBOINE RIVER AT PR #340 UPSTREAM TREESBANK,49.6944,-99.65639,0.0,2.0,1/11/2005 2:40:00 PM,Y,A,381,,,,,,,,,,,,,,0,,,,4,1.6,,,407,5.6,0.47,8,12,6.5,0.53,326,1.4,,0.193,0.165,,0.028,,831,77,66,11,,2,,,,,,,7.8,1270,290,L0.5,L0.5,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
