NUMBER,ANAL,SAMPLED,SAMPLET,TYPE,DESCRIP,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF_CHL,HPLC_CHLA,COND,PH,Comments for DOC,Project name
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,,DEPTH
4592.0,M,8/11/2017,08:44,LA,MANITOBA,HERBERT,LMB,,030847,4.1,,,,459,642,71,38,83,811,3500,17.80,12.56,877,8.69,,DEPTH
4593.0,M,8/11/2017,12:58,LA,MANITOBA,HERBERT,LMB,,027854,0,,,,367,663,104,31,115,865,3280,14.58,11.31,883,8.67,,DEPTH
4594.0,M,8/11/2017,08:50,LA,MANITOBA,HERBERT,LMB,,066840,6.2,,,,242,N/S,N/S,41,N/S,,3160,17.14,12.71,N/S,N/S,,DEPTH
4595.0,M,8/11/2017,14:56,LA,MANITOBA,HERBERT,LMB,,041823,5.2,,,,411,635,-1,54,7,,4070,28.08,23.17,1002,8.67,,DEPTH
4596.0,M,8/31/2017,14:45,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,1,,,,,,10,,,,,,DEPTH
4597.0,M,8/31/2017,14:47,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,11,,,,,,220,,,,,,DEPTH
4598.0,M,8/31/2017,14:49,LA,MANITOBA,HERBERT,BLK,,P,,,,,,,,3,,,,,,,,,DEPTH
4599.0,M,8/29/2017,10:30,LA,MANITOBA,HERBERT,LMB,,LLS013,,,,,441,745,35,40,47,,3100,24.94,19.49,990,8.71,,DEPTH
4673.0,M,9/13/2017,,EX,LGS,KAMULA,,,,,41,12,,49,428,,20,23,,800,4.12,3.35,305,8.46,,DEPTH
4688.0,M,9/12/2017,14:15,LA,MANITOBA,HERBERT,,,GL-TL1,,,,,91,1250,1,9,6,1544,910,1.34,0.95,286,8.60,,DEPTH
4689.0,M,9/17/2017,,LA,MANITOBA,HERBERT,LWH,,LWH_M,,,,,135,637,6,12,12,1249,1180,3.84,2.77,994,8.59,,DEPTH
4690.0,M,9/21/2017,09:39,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,,DEPTH
4691.0,M,9/21/2017,09:40,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,140,,,,,,DEPTH
4692.0,M,9/21/2017,09:41,LA,MANITOBA,HERBERT,BLK,,P,,,,,,,,2,,,,,,,,,DEPTH
4693.0,M,9/17/2017,18:05,LA,MANITOBA,HERBERT,OFR,,OFR1,,,,,65,719,9,11,17,1476,680,2.26,1.19,212,8.40,,DEPTH
4694.0,M,9/18/2017,07:52,LA,MANITOBA,HERBERT,LWPO,,308102,0,,,,234,521,41,23,50,1296,1520,10.46,7.43,682,8.62,,DEPTH
4695.0,M,9/18/2017,07:55,LA,MANITOBA,HERBERT,LWPO,,308102,4,,,,241,531,3,25,9,,1630,11.23,8.22,684,8.63,,DEPTH
4696.0,M,9/18/2017,10:03,LA,MANITOBA,HERBERT,REDR,,RDR1,0,,,,579,828,39,56,58,1594,4270,24.57,18.87,589,8.71,,DEPTH
4697.0,M,9/18/2017,11:11,LA,MANITOBA,HERBERT,LWPO,,292085,0,,,,236,521,22,29,30,1219,1530,15.67,11.04,695,8.63,,DEPTH
4698.0,M,9/18/2017,11:20,LA,MANITOBA,HERBERT,LWPO,,292085,7,,,,228,549,10,29,17,1259,1600,17.94,13.06,691,8.64,,DEPTH
4699.0,M,9/19/2017,10:14,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,,DEPTH
4700.0,M,9/19/2017,10:15,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,27,,,,,,230,,,,,,DEPTH
4701.0,M,9/19/2017,10:16,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,4,,,,,,,,,DEPTH
4702.0,M,9/25/2017,12:05,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4703.0,M,9/25/2017,12:03,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,-10,,,,,,DEPTH
4704.0,M,9/25/2017,12:04,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,90,,,,,,DEPTH
4705.0,M,9/22/2017,15:55,LA,MANITOBA,HERBERT,LWPO,,284986,0,,,,177,478,8,15,13,1226,1960,6.80,4.00,890,8.59,,DEPTH
4706.0,M,9/22/2017,16:02,LA,MANITOBA,HERBERT,LWPO,,284986,8.5,,,,185,478,6,20,11,1235,2020,8.02,5.69,900,8.60,,DEPTH
4707.0,M,9/23/2017,10:14,LA,MANITOBA,HERBERT,LWPO,R1,221005,0,,,,277,529,3,22,6,1256,2920,9.92,7.17,990,8.60,,DEPTH
4708.0,M,9/23/2017,10:19,LA,MANITOBA,HERBERT,LWPO,,221005,8.5,,,,276,492,16,17,22,1276,2820,8.79,4.91,989,8.60,,DEPTH
4709.0,M,9/23/2017,10:14,LA,MANITOBA,HERBERT,LWPO,R2,221005,0,,,,295,N/S,N/S,20,N/S,,3080,9.63,6.29,N/S,N/S,,DEPTH
4710.0,M,9/23/2017,14:53,LA,MANITOBA,HERBERT,LWH,DIT,DBW5,,,,,83,1411,1,12,9,2887,630,1.57,1.02,1241,8.51,,DEPTH
4711.0,M,9/23/2017,15:18,LA,MANITOBA,HERBERT,LWH,DIT,DBW3,,,,,55,1165,1,4,3,2361,380,0.62,0.38,485,8.66,,DEPTH
4712.0,M,9/24/2017,08:14,LA,MANITOBA,HERBERT,LWPO,,171986,0,,,,288,589,8,26,13,1157,2670,10.30,8.02,985,8.61,,DEPTH
4713.0,M,9/24/2017,08:21,LA,MANITOBA,HERBERT,LWPO,,171986,6,,,,253,560,88,24,97,1151,2550,12.48,9.83,987,8.62,,DEPTH
4714.0,M,9/23/2017,14:49,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4715.0,M,9/23/2017,14:47,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,,DEPTH
4716.0,M,9/23/2017,14:48,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,18,,,,,,240,,,,,,DEPTH
4729.0,M,9/26/2017,17:22,LA,MANITOBA,HERBERT,LMB,,066840,0,,,,295,722,17,38,35,1097,3120,21.40,14.99,962,8.67,,DEPTH
4730.0,M,9/26/2017,17:25,LA,MANITOBA,HERBERT,LMB,,066840,6.2,,,,329,697,8,36,16,1102,3390,17.74,10.84,976,8.66,,DEPTH
4731.0,M,9/26/2017,18:10,LA,MANITOBA,HERBERT,LMB,,070833,0,,,,322,650,22,27,30,1082,3030,13.33,9.05,990,8.70,,DEPTH
4732.0,M,9/27/2017,08:14,LA,MANITOBA,HERBERT,LMB,,LMB_M,0,,,,157,604,33,14,37,1227,1560,4.36,2.83,946,8.60,,DEPTH
